zip,count
44055,8
44103,6
44131,2
44236,1
44254,1
44302,2
44446,6
44710,1
44805,8
45013,22
45157,4
45212,4
45244,14
45255,20
45320,6
45331,28
45415,6
45631,2
45750,1
45894,1
73103,1
73120,1
73131,3
73446,1
73533,1
73848,1
74129,1
74331,1
74432,1
74464,1
74834,3
97055,1
97128,18
97222,4
97501,20
15068,1
15210,1
15601,3
15905,2
16037,11
16602,5
17349,2
17572,1
17887,2
18014,2
18018,2
18321,1
18360,26
18426,3
18444,5
19004,24
19015,4
19043,2
19082,16
19116,31
19127,9
19130,6
19347,2
19406,31
19462,27
19473,4
19518,1
19605,1
2840,1
29059,2
29107,2
29135,3
29306,4
29334,1
29505,35
29526,80
29554,2
29565,1
29593,9
29602,4
29620,8
29680,7
29729,13
29801,66
29812,42
29928,6
57701,19
37043,31
37166,7
37187,1
37203,154
37214,1
37343,1
37347,18
37354,4
37365,2
37601,2
37756,3
37804,2
37821,1
37892,1
37909,19
37916,7
38069,2
38163,2
38260,2
38355,2
38478,1
75025,1
75057,15
75068,1
75109,2
75140,8
75217,11
75224,25
75228,5
75503,13
75570,3
75647,2
75702,6
75835,1
75901,18
75961,8
76015,67
76022,4
76033,30
76054,6
76065,2
76082,1
76180,28
76301,40
76424,5
77002,28
77023,3
77030,265
77034,34
77083,7
77090,41
77338,16
77414,16
77597,1
78003,2
78028,1
78212,233
78230,15
78251,156
78259,4
78363,18
78411,70
78566,4
78577,62
78653,7
78681,12
78705,15
78852,56
79068,4
79371,3
79706,1
79734,1
79762,1
79905,42
79922,1
84065,3
84097,4
84120,3
84124,14
84312,19
84770,5
20109,41
20169,13
20186,32
22124,1
22152,1
22191,60
22306,49
22554,42
22602,1
22630,4
22801,45
22812,2
23153,5
23175,4
23192,2
23320,204
23324,4
23436,5
23607,25
23838,1
23841,8
23866,2
23974,5
24014,2
24018,40
24256,10
24273,8
24277,2
24531,13
24588,7
98056,1
98121,12
98168,14
98404,3
98502,58
98590,1
98674,6
54913,1
24867,3
24870,6
24954,2
25015,2
25043,8
25054,6
25130,7
25301,37
25434,1
25560,10
25951,6
26330,11
26501,1
26757,2
82001,7
99603,4
99929,2
35023,1
35051,7
35058,55
35218,1
35235,31
35553,3
35570,2
35757,6
35768,31
36027,45
36049,2
36083,7
36117,17
36251,7
36509,3
36522,3
36544,7
36561,1
36802,1
36830,2
71603,7
71832,22
72058,9
72064,1
72086,3
72211,23
72521,1
72801,2
72923,1
72951,8
85016,26
85027,86
85050,15
85120,16
85123,2
85131,2
85281,15
85286,10
85302,38
85332,3
85337,2
85340,9
85375,35
85390,10
85392,54
85724,24
85745,88
86323,7
90001,2
90012,16
90023,15
90025,6
90026,5
90043,6
90047,1
90062,1
90065,2
90260,24
90602,40
90746,3
90808,32
91016,24
91106,29
91307,29
91335,4
91395,2
91403,9
91411,11
91506,29
91737,2
91767,184
92024,110
92029,7
92122,1
92251,2
92277,2
92307,147
92345,57
92392,21
92411,17
92415,2
92555,15
92563,53
92663,87
92706,16
92802,3
92806,12
93010,3
93227,17
93235,9
93249,1
93257,89
93280,7
93401,5
93428,1
93458,3
93611,2
93618,8
93637,13
93650,3
93654,7
93703,3
93706,7
93923,2
94110,24
94123,1
94304,25
94501,23
94519,8
94531,44
94536,1
94601,3
94609,100
95065,3
95119,2
95204,8
95501,20
95603,10
95758,1
95823,2
80027,9
80112,89
80136,8
80206,6
80228,55
80487,5
80751,1
80807,1
80918,13
80922,6
81004,49
81039,2
81054,8
81301,6
6493,1
6614,2
6810,4
20024,6
19703,4
19707,22
19711,22
19805,65
19933,3
19934,3
19970,19
19973,56
32034,21
32086,54
32128,1
32159,93
32178,1
32224,10
32246,10
32311,8
32312,13
32327,14
32333,6
32703,52
32720,107
32724,24
32779,30
33125,47
33136,137
33142,34
33147,11
33149,3
33180,176
33181,49
33186,50
33411,40
33463,10
33558,8
33566,19
33572,11
33606,105
33710,78
33813,29
33841,27
33852,11
33859,9
33908,115
33957,1
33980,2
34105,19
34116,10
34119,9
34201,2
34205,8
34223,35
34231,11
34288,3
34430,9
34471,115
34668,43
34758,4
34954,1
30033,72
30083,18
30094,17
30096,70
30097,30
30110,23
30117,72
30204,10
30305,1
30322,15
30553,1
30558,1
30648,1
30673,9
30730,1
31030,7
31063,1
31087,1
31091,2
31201,30
31204,2
31312,2
31522,4
31642,1
31792,7
31907,11
50010,1
50266,3
52242,1
52585,3
52732,8
83704,1
83705,2
60005,24
60031,17
60045,19
60131,1
60188,3
60202,22
60411,12
60435,73
60453,17
60501,10
60540,147
60555,1
60632,17
60827,1
61244,2
61832,2
62274,2
62948,13
46016,4
46052,1
46158,1
46373,1
46835,3
46929,1
47303,7
47591,3
47804,47
47842,18
47909,2
47959,2
66449,1
40006,6
40213,6
40324,22
40342,1
41011,1
41179,6
41653,10
41701,2
42071,5
42141,16
42261,3
42301,8
42445,5
42539,2
42749,1
70070,3
70121,2
70461,13
70506,11
70517,1
70722,3
70737,1
70776,1
70816,2
71068,1
71360,1
1605,4
1845,3
20601,13
20707,80
20737,18
20745,18
20751,9
20784,6
20871,2
21015,42
21030,13
21048,10
21114,23
21163,1
21208,60
21225,27
21620,28
21655,1
48034,2
48708,1
49221,1
49307,3
55041,2
63044,65
63077,2
63117,64
63383,14
63501,8
63645,7
64024,4
64030,2
64037,11
64055,14
64063,24
64150,3
65556,1
65559,2
65667,1
38646,1
38851,1
39350,1
39466,10
39520,1
39581,3
39730,2
39759,5
27105,2
27127,32
27203,55
27217,45
27253,21
27513,74
27518,166
27529,26
27530,32
27557,2
27804,3
27856,1
27892,1
27909,56
27929,1
27959,14
28001,30
28025,62
28043,5
28090,12
28203,6
28211,55
28366,6
28431,2
28451,7
28470,52
28504,7
28602,68
28613,14
28630,6
28687,1
28752,3
28777,7
28785,1
28791,17
28906,2
68128,1
3101,1
7006,7
7009,1
7017,6
7040,20
7047,24
7094,35
7110,53
7410,43
7417,6
7436,13
7438,2
7470,118
7501,5
7504,14
7512,4
7607,7
7645,8
7656,7
7722,13
7735,2
7801,38
7860,58
7866,10
7920,5
7931,2
8016,21
8052,22
8103,146
8108,20
8223,10
8234,305
8247,16
8330,21
8360,150
8520,13
8638,18
8721,18
8816,97
8824,12
8830,42
8835,7
8873,53
89029,1
89044,1
89113,10
89117,11
89120,2
89501,3
89503,91
10019,46
10032,34
10040,6
10075,13
10305,9
10461,61
10462,7
10466,3
10470,6
10504,1
10510,2
10604,1
10605,6
10901,15
10940,25
10983,4
10994,21
11040,28
11209,35
11413,1
11418,5
11561,10
11572,1
11704,3
11717,2
11735,5
11743,25
11756,2
11792,4
11952,5
12095,1
12122,1
12206,61
12407,2
12701,1
13053,3
13224,2
14221,7
14224,3
43074,2
43140,5
43147,3
43210,5
43213,23
43221,3
43452,7
43608,1
43612,1
43623,1
44060,3
44124,2
44130,2
44203,4
44410,6
44413,2
44505,4
44507,2
44907,5
45039,2
45067,3
45107,1
45121,1
45408,1
73009,4
73703,1
74104,4
74953,3
97103,9
97209,9
97913,3
15132,1
15220,5
15227,1
15301,1
15314,1
15473,5
15701,1
15825,1
16117,8
17044,1
17061,2
17527,1
18034,3
18052,2
18067,1
18105,1
18356,1
18370,1
18915,2
18954,46
19020,74
19036,7
19047,305
19064,51
19078,19
19102,69
19148,67
19151,4
19333,21
19372,6
19504,5
2860,1
2920,1
29006,1
29069,6
29229,8
29316,3
29403,9
29414,43
29420,1
29425,27
29436,2
29477,2
29501,77
29512,8
29540,13
29569,103
29581,4
29645,1
29651,6
29707,2
29827,5
37015,6
37130,8
37228,8
37331,10
37406,10
38117,7
38128,3
38301,1
38305,26
38343,2
38425,6
38570,6
75024,10
75042,24
75063,5
75080,44
75119,21
75150,85
75155,1
75201,22
75206,1
75220,6
75601,5
75845,5
75965,7
76009,5
76010,6
76011,12
76048,24
76053,3
76086,80
76102,7
76105,7
76401,1
77006,46
77008,23
77009,2
77040,44
77055,32
77094,43
77305,1
77327,7
77341,1
77380,68
77474,8
77488,2
77551,10
77640,6
77656,3
77662,3
77713,1
78052,5
78063,4
78209,68
78223,35
78226,66
78240,107
78245,1
78247,101
78405,159
78520,87
78580,15
78617,1
78664,1
78704,73
78721,1
78751,20
78758,37
78873,3
79336,6
79423,1
79904,4
84092,1
84107,9
84109,6
84604,14
20164,1
22075,10
22427,9
22553,3
23061,23
23114,176
23418,15
23435,101
23456,45
23508,1
23692,11
23805,76
23824,17
23890,9
23930,79
24013,11
24060,27
24266,36
24283,9
24370,8
24426,5
98055,50
98072,2
98104,131
98107,2
98115,9
98145,2
98233,10
98335,1
98506,11
98855,2
99114,1
24817,6
24986,1
25003,12
25186,1
25260,1
26351,3
26354,3
26362,19
26651,12
82414,4
82609,3
99676,3
99701,14
35117,2
35126,1
35210,3
35234,3
35243,23
35406,7
35640,7
36116,6
36201,5
36203,13
36271,6
36460,17
36582,2
36688,27
71663,2
72021,2
72112,2
72202,3
72207,3
72846,1
85018,72
85032,165
85035,1
85054,17
85085,2
85122,26
85173,2
85236,12
85249,5
85258,94
85351,48
85353,4
85533,1
85704,234
86001,37
86004,37
86040,2
86054,1
86320,3
86322,2
86327,10
90004,3
90034,2
90042,7
90221,1
90232,13
90241,103
90274,16
90278,4
90403,10
90605,9
90807,75
91011,2
91103,4
91201,2
91204,75
91210,1
91351,3
91356,7
91402,4
91709,28
91745,5
91786,75
92009,2
92040,8
92078,26
92105,3
92220,20
92231,3
92373,14
92410,9
92590,65
92627,31
92629,10
92646,76
92649,54
92801,293
93021,8
93036,2
93060,1
93291,57
93311,14
93610,9
93630,12
93648,6
93722,3
93726,2
93950,2
94122,19
94127,9
94513,49
94550,2
94591,1
94606,1
94608,12
95035,7
95138,1
95340,7
95404,7
95465,1
95521,30
95546,1
95548,1
95630,5
95736,2
95825,28
96067,7
96137,3
80007,1
80111,31
80122,53
80304,2
80439,22
80526,3
80538,12
80828,6
80910,95
81152,2
81323,1
81423,4
6492,5
6611,4
6824,3
20007,151
20018,9
19702,72
19808,124
19903,2
32110,1
32134,2
32204,32
32405,14
32425,1
32504,14
32547,8
32607,25
32686,3
32707,16
32789,7
32805,1
32811,5
32816,2
32920,3
32931,6
32955,16
32958,39
33014,66
33127,9
33166,9
33196,15
33309,31
33323,9
33326,118
33405,18
33413,7
33467,103
33484,148
33549,7
33605,6
33709,104
33897,3
33948,16
34135,22
34208,23
34222,2
34242,2
34293,44
34453,3
34470,9
34478,9
34613,38
34956,4
30022,11
30044,10
30102,1
30106,104
30141,35
30188,53
30215,11
30277,6
30294,1
30329,17
30341,12
30427,1
30474,4
30501,69
30512,37
30577,8
30606,100
31082,14
31402,6
31501,8
31598,5
50401,1
52245,4
52353,3
52544,4
83835,4
83837,3
60014,27
60061,3
60077,2
60108,54
60169,57
60473,2
60505,4
60527,25
60544,10
60612,57
60624,17
60628,22
60645,1
60653,11
60804,26
61071,1
61107,3
61614,13
61761,26
61764,1
62025,1
62411,7
62801,6
62896,6
46112,2
46206,1
46310,11
46580,7
46815,3
46845,11
46902,3
47432,2
47501,4
47716,1
47928,4
66104,2
66106,2
66203,3
66210,38
66762,11
67214,34
67337,1
40014,22
40207,211
40741,69
41314,1
42211,1
42629,2
70072,36
70084,1
70128,2
70359,1
70403,23
70422,1
70433,22
70586,5
70726,17
70767,3
70815,5
71029,1
71111,12
71270,1
71342,5
71483,4
1501,3
1545,1
1902,16
2061,2
20715,19
20769,24
20778,2
20832,117
21009,13
21037,18
21061,110
21102,2
21221,17
21285,3
21401,239
21409,1
21632,6
21703,22
21727,1
21738,3
21851,17
21918,1
48109,2
55108,1
63016,7
63112,1
63131,9
64015,1
64057,22
64836,8
65349,6
39110,12
39477,1
39501,24
39531,3
39577,3
39645,8
39702,2
59043,1
27052,5
27216,22
27320,2
27407,8
27511,60
27559,37
27605,1
27607,65
27810,9
27834,130
27855,1
27864,10
27870,39
28012,7
28023,14
28081,1
28173,1
28202,14
28214,9
28327,9
28349,6
28385,4
28472,9
28624,2
28635,7
28779,4
3054,2
7008,15
7022,9
7029,3
7044,22
7055,25
7066,20
7068,4
7083,55
7104,35
7112,37
7204,9
7305,35
7416,11
7419,8
7430,8
7474,2
7480,1
7503,27
7508,13
7601,100
7640,1
7734,3
7739,16
7849,14
7871,29
7876,19
7933,1
8030,6
8033,22
8035,39
8037,70
8054,79
8085,18
8096,55
8102,3
8310,4
8312,2
8505,33
8691,14
8742,19
8807,32
8812,9
8818,23
8865,42
8902,20
88011,31
88031,4
88240,2
89027,1
89131,3
89511,115
